"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","kr1_new","kr2_new","kr3_new","Kr1","Kr2","Kr3","Kx"
"319",319,0.376784035274812,0.708277050754614,10.8,0.0306937977296113,12.4338731640688,0.0960004121570356,0.1151,1.131,"PI_628480",319,103,NA,NA,NA,NA,NA,NA,NA
"320",320,0.309533965408194,0.54990398423234,10,0.0240370018824146,10.2146208584704,0.0907017990800842,0.0475,0.65,"PI_629245",320,104,0.000161521474871826,6.24582279645526e-05,5.51908858197743e-05,0.000558080703279293,0.00021580246103929,0.000190692713754309,8.08693168475412
"321",321,0.289885856765246,0.525635787601577,9.3,0.0253494549286378,9.56623327325312,0.093725236206569,0.0231,0.604,"PI_629246",321,105,0.000165239722404933,6.32312505891649e-05,5.5850542750472e-05,0.000545731787791428,0.0002088317683308,0.000184455747690282,9.20172690480284
"322",322,0.303301099745971,0.573423153027374,10.1,0.026744757750634,10.008936291617,0.0930069822378037,0.0586,0.744,"PI_503574",322,106,0.000147882265359797,5.87708958884429e-05,5.23851652290495e-05,0.000532808552672367,0.000211747067178026,0.000188739765375413,8.42707974945938
"323",323,0.278117425456696,0.535831612857789,10.2,0.0252660968040286,9.17787504007098,0.0873504876591152,0.0745,0.659,"PI_620857",323,107,0.000148426005662784,5.81529471612908e-05,5.1815156210961e-05,0.000499710184674615,0.000195785232079637,0.000174447605481952,5.73893571816702
"324",324,0.296937431916069,0.552502652346806,10.8,0.0236634463361793,9.79893525323027,0.0946869572195765,0.0209,0.682,"PI_620858",324,108,0.00015405590597684,5.97864053881121e-05,5.31066755120827e-05,0.000534801464587551,0.000207547104158372,0.000184358578550747,10.322207526295
"325",325,0.310560614878462,0.601331880665566,10,0.0290771265787103,10.2485002909893,0.0978070731624902,0.0345,0.833,"PI_629255",325,109,0.000138521468701161,5.61405437474584e-05,5.04152178218468e-05,0.00052337284452755,0.000212114673270024,0.000190482790908171,10.0263919392181
"326",326,0.329459665495903,0.616491690214431,11.2,0.0256278593498685,10.8721689613648,0.0979949936255609,0.0428,0.854,"PI_474205",326,110,0.000147003134932141,5.86969675796813e-05,5.23148557922812e-05,0.000569421278161677,0.000227364554632561,0.000202643243396378,12.1696687940504
"327",327,0.383897743289922,0.69006636617861,12.5,0.024493489831095,12.6686255285674,0.0997488522209315,0.0137,1.033,"PI_515463",327,111,0.000152455848482098,6.09009367271225e-05,5.40479840424152e-05,0.000661020332268119,0.000264055186020163,0.00023434205198323,16.1553561947924
"328",328,0.256690760332437,0.50209703231304,8.6,0.0285356130210004,8.47079509097042,0.078502755229451,0.1131,0.585,"PI_583894",328,112,0.000139860348397337,5.60005989804137e-05,5.0188532628033e-05,0.000441227048964631,0.000176668936632294,0.000158333211643521,2.92894265308376
"329",329,0.310560614878462,0.594945874375455,9.3,0.030579060160967,10.2485002909893,0.09523275110034,0.1617,0.809,"PI_586644",329,113,0.00013787006178035,5.70871914426518e-05,5.11283233991132e-05,0.000515379685120728,0.00021340078019994,0.000191125606777245,8.67810292916951
"330",330,0.243975303496827,0.46387227019972,8.6,0.0255694147328946,8.05118501539529,0.0814985348291678,0.0181,0.489,"Ames_19802",330,114,0.000154658281996427,5.90412875539461e-05,5.25517456326741e-05,0.000450766322309246,0.00017208146703524,0.000153167077792308,3.82206189430444
"331",331,0.292073705590311,0.534344428161144,9.1,0.0266231563264651,9.63843228448028,0.0836738580241042,0.0233,0.629,"PI_629262",331,115,0.000159172577630112,6.17730823865114e-05,5.48023453851101e-05,0.000534403634096291,0.000207396023914337,0.000183992575648675,5.16941804521868
"332",332,0.252943248818667,0.444959266906891,7.7,0.0249371452062629,8.347127211016,0.0790821506601332,0.0272,0.421,"PI_629263",332,116,0.000171343754806767,6.41694388044885e-05,5.65365535089462e-05,0.000479036277772862,0.000179402448290818,0.000158062721232967,3.36803948951613
"333",333,0.286016853960102,0.555948648244117,10.5,0.025707789931811,9.43855618068336,0.0813018291794156,0.1594,0.714,"PI_479123",333,117,0.000144199742670374,5.75473128083246e-05,5.13090221723683e-05,0.000503708213250125,0.000201020151459553,0.000179229001407674,4.33749771285351
"334",334,0.247215489294841,0.50209703231304,10,0.0254881543018199,8.15811114672976,0.0749568799217926,0.1257,0.599,"NSL_6544",334,118,NA,NA,NA,NA,NA,NA,NA
"335",335,0.317152840179743,0.663012784808721,11.3,0.0306070747459272,10.4660437259315,0.0942378169439195,0.0086,1.065,"PI_390842",335,119,0.000125706231011498,5.25101058726108e-05,4.75411696517552e-05,0.000523671063377648,0.000218748289238485,0.000198048534789613,8.00131055508373
"336",336,0.155536334500875,0.35188427888369,9,0.0218164382647572,5.13269903852888,0.0545598016140992,0.0077,0.313,"PI_571573",336,120,0.000147674940737704,5.3700670685205e-05,4.81441556263409e-05,0.000326502520255839,0.000118729719684064,0.000106444519761208,0.366091192647381
"337",337,0.243975303496827,0.514310718747656,9.5,0.0284563595000872,8.05118501539529,0.0824630481040919,0.0867,0.644,"PI_571394",337,121,0.000128513518619768,5.17446218019487e-05,4.67777750128558e-05,0.000415292662898693,0.000167213239584521,0.000151162826745424,3.48587190127268
"338",338,0.243322088660658,0.491525384505721,9.7,0.025587968643821,8.02962892580171,0.0654318506020429,0.003,0.574,"PI_571401",338,122,0.000143979424834721,5.56899820825633e-05,4.99028517361388e-05,0.00044465814745029,0.000171989881837623,0.000154117226339461,1.19755318594446
"339",339,0.223550111006135,0.457306893915618,9.3,0.0251351379472563,7.37715366320244,0.069516782021095,0.0237,0.5,"PI_571402",339,123,0.000152039719575262,5.78459821573596e-05,5.15726682475946e-05,0.00043686240942337,0.000166211403252529,0.000148186014641283,1.51879765711592
"340",340,0.248499734244637,0.524423246684198,10.7,0.02578724415323,8.20049123007303,0.0797860662797863,0.0278,0.67,"PI_571479",340,124,0.000132239347208441,5.21388658049576e-05,4.70400186560123e-05,0.000435735054502249,0.000171800088345858,0.000154999140010546,3.32454645304066
"341",341,0.240691502312504,0.495395722879904,10,0.02547042205674,7.94281957631262,0.0780475920957942,0.0067,0.589,"PI_571954",341,125,0.000143854565328188,5.55072578380967e-05,4.97680134985612e-05,0.000447770801181992,0.000172775394766771,0.000154911060532885,3.04571943279815
"342",342,0.229174892211877,0.503047074850966,11.7,0.0234078788580418,7.56277144299194,0.0767624086691834,0.0145,0.631,"PI_571423",342,126,0.000132624215680399,5.14030750796911e-05,4.63679605557949e-05,0.000419190396831765,0.000162471652182696,0.000146556974425417,2.97489172346595
"343",343,0.278117425456696,0.553941089179323,10.8,0.0255392281224654,9.17787504007098,0.0781286513094152,0.0326,0.72,"PI_571581",343,127,NA,NA,NA,NA,NA,NA,NA
"344",344,0.254198558011861,0.515547044374677,11,0.0237589533057105,8.38855241439142,0.0807877989222427,0.0037,0.632,"PI_571582",344,128,0.000145575701484034,5.613034741797e-05,5.0210311882335e-05,0.000471560111014143,0.000181821777878112,0.000162645139291226,3.75029602663493
"345",345,0.276970544589661,0.530158117452036,10.6,0.0238856200813561,9.14002797145882,0.0883233047371912,0.0013,0.642,"PI_571584",345,129,0.000149828978843318,5.79858948174402e-05,5.17138136700527e-05,0.000499092568664174,0.000193155752739868,0.000172262938046168,6.63144319611979
"346",346,0.25104851615652,0.540563109652074,11.3,0.0256207604863322,8.28460103316516,0.0831621132740244,0.0034,0.72,"PI_571427",346,130,0.000136164622393176,5.34618470022193e-05,4.81174028250751e-05,0.000462477446666271,0.000181580928005338,0.000163428746818663,4.06315053648002
"347",347,0.226379971895904,0.436290398631355,8.8,0.023853457583574,7.47053907256483,0.0726875340409113,0.0024,0.437,"PI_571891",347,131,NA,NA,NA,NA,NA,NA,NA
"348",348,0.201850601761613,0.437747131895392,9.3,0.0253652182939548,6.66106985813322,0.070496854417534,0.0066,0.475,"PI_572037",348,132,0.000146771781128745,5.55792174322299e-05,4.9776077741766e-05,0.000403687909304767,0.000152867655577001,0.000136906431211999,1.61735764017124
"349",349,0.23936536824086,0.480390120093293,9.2,0.0261983425926558,7.89905715194837,0.0718195071355286,0.0026,0.545,"PI_572038",349,133,0.000150869976753719,5.77346208556213e-05,5.1541268479472e-05,0.000455382942202076,0.000174265033228396,0.000155571141389671,2.06396301778464
"350",350,0.226379971895904,0.485334230995512,8.9,0.0290959841684953,7.47053907256483,0.0726875340409113,0.1722,0.579,"PI_571437",350,134,0.000128269178331976,5.19054988271176e-05,4.68480427255492e-05,0.000391149792879703,0.000158282959161074,0.000142860525398329,1.57433782411188
"351",351,0.294245287204385,0.578672619246278,11.3,0.0251705603576896,9.71009447774471,0.0742109475331768,0.0586,0.78,"PI_571975",351,135,0.00014432654777912,5.71694618341697e-05,5.10531819800992e-05,0.000524757948497357,0.00020786286355792,0.000185624636994296,2.98523201497176
