"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"82","PI_467262",0.000500390710342129,0.000149795174627765,0.000195434677274044,5.8504626495904e-05,0.000174160029794025,5.21359240628898e-05,4.14733253896184,3
"83","PI_467280",0.000540257776682804,0.000156859236883106,0.000211464028342799,6.13967767715335e-05,0.000187773733785849,5.45185018329368e-05,6.52221155935386,3
"84","PI_471823",0.000600308062574071,0.000154847306161087,0.000238675852789084,6.15655779994285e-05,0.000211880864568224,5.46539071369264e-05,8.06243474927778,2
"85","PI_471857",0.000464412630266772,0.000151680473820031,0.000179306044140059,5.85626315079685e-05,0.000159836098693005,5.22036086085205e-05,1.80249074202623,2
"86","PI_471893",0.000475969179862298,0.000138413703243948,0.000193953866836626,5.64025447511277e-05,0.00017368146852913,5.05072518580278e-05,6.95087913212747,3
"87","PI_474205",0.00057007535806518,0.000147171993736683,0.000227490515443969,5.87294859186788e-05,0.000202737545130198,5.23392009494307e-05,12.1455039937655,3
"88","PI_476869",0.000527915134808005,0.00014796345315673,0.000213883562986386,5.99470416100881e-05,0.00019033309288219,5.33463426523883e-05,7.20901410581367,3
"89","PI_479123",0.000503114719457461,0.000144029839440831,0.000200899110231971,5.75126615689548e-05,0.000179088822971397,5.12688924029754e-05,4.32286300042655,3
"90","PI_483312",0.000401661754510069,0.000140323933809254,0.000153741515323835,5.3710899725444e-05,0.000138268843861811,4.83053909815562e-05,3.49324033033625,3
"91","PI_483878",0.000488163242315714,0.000129316402867264,0.000203632402430921,5.39430409890532e-05,0.000183496044773803,4.86088389981072e-05,6.11214643978122,2
"92","PI_483911",0.00052115936333367,0.000139920412285856,0.000210196038347584,5.64332494351016e-05,0.000188087649438918,5.04976084225539e-05,6.69930896640053,2
"93","PI_484975",0.000578381667016484,0.00016307693782836,0.000221876042946015,6.25588045481373e-05,0.000195800281004537,5.52066430750863e-05,9.57287383448117,2
"94","PI_485104",0.000535096204872376,0.000136215884687188,0.000220313357742902,5.60837073036462e-05,0.00019775558935036,5.03413261202633e-05,6.84724846874882,3
"95","PI_48533",0.00043734724954132,0.000151404027474044,0.000166958587131575,5.77989287450822e-05,0.000149017744453689,5.15880383357821e-05,6.95870493488922,2
"96","PI_48543",0.000460403928087745,0.00015926607071873,0.000174394815029174,6.03278452874599e-05,0.000154751117370047,5.35325632542456e-05,4.64338547746863,3
"97","PI_485690",0.000502135579670967,0.000152744941856663,0.000195360654412593,5.94268819168016e-05,0.000174032168833346,5.29389563015175e-05,3.98241724545672,3
"98","PI_485711",0.000458703228882422,0.000176415088690156,0.000171058030178181,6.5788108007372e-05,0.00015005936568785,5.77121211270048e-05,3.48081964573205,2
"99","PI_485717",0.000502990522839312,0.000140013415034073,0.000201672850048922,5.61380447003467e-05,0.000180663848696678,5.02899384394602e-05,5.79875482986819,3
"100","PI_486516",0.000556704295677104,0.000135867758734785,0.000232807679902114,5.68184185575099e-05,0.000208553876804256,5.08991003605977e-05,9.91421761029644,2
"101","PI_487903",0.000561457797694814,0.000146803258569882,0.000226293467242698,5.91685047757809e-05,0.000201676562944594,5.27319715551149e-05,8.70687312405455,3
"102","PI_488408",0.00048622908243046,0.000144662562416948,0.000190319084502711,5.66236110423271e-05,0.000170018241174577,5.05837172531829e-05,4.35229184011034,3
"103","PI_488492",0.000539182441661328,0.000155398940870379,0.000209829766107454,6.04754919609553e-05,0.000186339836112528,5.37054082930164e-05,5.1203110912638,2
"104","PI_489682",0.000416678799839984,0.000172745195394517,0.000151592067659136,6.28464931695419e-05,0.000133592031810119,5.53841031678403e-05,3.12660782672709,2
"105","PI_490825",0.000489198836857986,0.000140846113385514,0.000196013338920119,5.64345515127026e-05,0.000175572161526236,5.05492955144591e-05,5.27936203975167,3
"106","PI_492020",0.000532492699315962,0.000147296374071734,0.000217683793839851,6.02149730277584e-05,0.000193840059161142,5.36193977888603e-05,12.6356086050009,3
"107","PI_498451",0.000491723320069268,0.000130202086081292,0.000204400045141441,5.41225343324718e-05,0.000184223137230444,4.87799455361709e-05,3.52907888769075,2
"108","PI_498570",0.000466478625004763,0.000122232050774974,0.000195406204079713,5.12025627295839e-05,0.000176918617671058,4.63582344378291e-05,3.18945882394956,2
"109","PI_498609",0.000570549352415065,0.000157445459069123,0.000224046408561925,6.18265352497652e-05,0.000198454454060495,5.47643293110536e-05,5.96631937294672,1
"110","PI_498684",0.000600435230155494,0.000147481938213617,0.000241502844724457,5.9319150235141e-05,0.000215324880265765,5.28891861974624e-05,13.4800263724928,2
"111","PI_498686",0.000452909315531079,0.000130330069720846,0.000185866129321957,5.34852005966569e-05,0.000167373583825702,4.81637495661859e-05,4.38078429927497,3
"112","PI_498703",0.000513812620791023,0.000135811946465539,0.000212832656239259,5.62563396570223e-05,0.000191024522062695,5.04919714195488e-05,6.59156001623655,3
"113","PI_503560",0.00051116931988464,0.000154242526888902,0.000200169032319112,6.03999030238629e-05,0.000178012013927512,5.37141447592325e-05,2.74503991913938,2
"114","PI_503563",0.000595754920703712,0.000161342148923385,0.000232504763482307,6.29668624991771e-05,0.000205577019362737,5.56742998179012e-05,20.2331010170153,3
"115","PI_503566",0.000601926021102667,0.000153478475692581,0.000239981277289431,6.11901784303462e-05,0.000212969036356281,5.43026251129701e-05,20.7212418122119,2
"116","PI_503574",0.000532944704731132,0.000147920054683528,0.000211711023349021,5.87608918390356e-05,0.00018873647558399,5.23842521397121e-05,8.39157892752924,2
"117","PI_503720",0.000502880794816828,0.000148709742602277,0.000197185433165194,5.83108269656538e-05,0.000175710085542982,5.19602296668308e-05,8.01958567945996,3
"118","PI_504118",0.00045366074049416,0.000136344715832299,0.000180972273656072,5.43900122331168e-05,0.000162680255138316,4.88924678256243e-05,4.06444646329518,2
"119","PI_508270",0.000512057068475649,0.000147427267794817,0.000200223519805536,5.76467122328089e-05,0.000178613120454613,5.14248234465731e-05,5.47925695374646,3
"120","PI_515087",0.00056331494111321,0.000156576912855213,0.000224571148100324,6.24209558802256e-05,0.000198697977584982,5.52293462327646e-05,5.64391674230271,3
"121","PI_515463",0.000660989310058957,0.000152448693608052,0.00026418417035791,6.09306853077518e-05,0.000234473079223238,5.40782037922089e-05,16.1164260603384,3
"122","PI_516002",0.00049468170300091,0.000145884908788135,0.000195263844301927,5.75846002445635e-05,0.000174358389924272,5.14194433637699e-05,6.29562769392039,3
"123","PI_516008",0.000565368717274441,0.000136358995697168,0.000233126273662235,5.6226783647413e-05,0.000209193401687416,5.04545109925554e-05,6.22208277088536,3
"124","PI_516018",0.000554460619985413,0.000156488717071012,0.000220213552310782,6.21521800478293e-05,0.000195023877022564,5.50427482375192e-05,7.01602131865562,2
"125","PI_516025",0.000345975934432994,0.000148490642213702,0.00013163370701189,5.64963390393025e-05,0.000117664987082899,5.05010544350174e-05,2.61535294934543,3
"126","PI_516049",0.000603079400602966,0.0001467472353696,0.000243674502959338,5.92932864289386e-05,0.000217324934663988,5.28816492603352e-05,6.36528022990024,3
"127","PI_516052",0.000490607355612479,0.000135644990185477,0.000206272168312898,5.70309146943181e-05,0.00018497368095586,5.11422277933556e-05,14.1323450594573,2
"128","PI_516060",0.000487075258507463,0.000137539001466694,0.000199689532872692,5.63877932104812e-05,0.000179067936809408,5.05647223776809e-05,11.039357611988,3
"129","PI_516061",0.000439399741138488,0.000139811724233878,0.000179472122059752,5.71058753290857e-05,0.000160652837454711,5.11178048248529e-05,12.6441222182256,3
"130","PI_516074",0.000393454355748472,0.000132376764802482,0.000157937632867682,5.31377339559853e-05,0.00014250638611802,4.79459283710577e-05,5.72030623529418,3
"131","PI_540761",0.000507588139665944,0.000141846767019322,0.000201285401450425,5.62497056426885e-05,0.000180316783337007,5.03899732025085e-05,7.26462704033121,3
"132","PI_571394",0.000415472606571344,0.000128569202710992,0.00016715537716504,5.17267161084761e-05,0.000151080812441005,4.67523954485638e-05,3.47924030561274,3
"133","PI_571401",0.000444102670511339,0.000143799562505338,0.000171736272937549,5.56078640245113e-05,0.000153896533000721,4.98313916714602e-05,1.20397518914421,2
"134","PI_571402",0.000437482855828143,0.000152255651400382,0.000166265491113635,5.78648061693541e-05,0.000148241902441552,5.15921186862165e-05,1.52705453502608,2
